index,Date,open,high,low,close,volume
0,2025-03-12,2912.0,2939.10009765625,2910.0,2939.10009765625,213
1,2025-03-13,2937.10009765625,2988.0,2935.199951171875,2984.300048828125,2366
2,2025-03-14,2994.39990234375,3004.800048828125,2986.0,2994.5,1800
3,2025-03-17,2991.0,3001.5,2989.0,3000.0,214
4,2025-03-18,3006.39990234375,3039.199951171875,3004.39990234375,3035.10009765625,428
5,2025-03-19,3035.199951171875,3050.89990234375,3030.89990234375,3035.89990234375,175
6,2025-03-20,3047.300048828125,3047.300048828125,3034.39990234375,3040.0,185
7,2025-03-21,3034.5,3037.5,3000.89990234375,3018.199951171875,151
8,2025-03-24,3024.300048828125,3024.300048828125,3006.0,3013.10009765625,137
9,2025-03-25,3026.39990234375,3028.800048828125,3023.699951171875,3023.699951171875,74
10,2025-03-26,3033.199951171875,3033.199951171875,3019.5,3020.89990234375,83
11,2025-03-27,3025.5,3065.0,3025.5,3060.199951171875,124359
12,2025-03-28,3069.699951171875,3094.89990234375,3066.800048828125,3086.5,31206
13,2025-03-31,3091.0,3132.5,3086.0,3122.800048828125,3438
14,2025-04-01,3129.699951171875,3149.5,3104.0,3118.89990234375,1721
15,2025-04-02,3120.699951171875,3168.60009765625,3117.39990234375,3139.89990234375,5946
16,2025-04-03,3150.0,3166.89990234375,3052.0,3097.0,5516
17,2025-04-04,3110.5,3127.699951171875,3011.0,3012.0,3247
18,2025-04-07,3016.39990234375,3050.800048828125,2949.699951171875,2951.300048828125,4424
19,2025-04-08,2994.0,3014.5,2968.39990234375,2968.39990234375,3213
20,2025-04-09,2965.800048828125,3090.39990234375,2965.800048828125,3056.5,2175
21,2025-04-10,3073.89990234375,3167.0,3072.10009765625,3155.199951171875,3456
22,2025-04-11,3182.10009765625,3235.0,3182.10009765625,3222.199951171875,862
23,2025-04-14,3215.5,3228.800048828125,3194.5,3204.800048828125,263
24,2025-04-15,3216.0,3218.699951171875,3214.0,3218.699951171875,390
25,2025-04-16,3238.300048828125,3334.89990234375,3238.300048828125,3326.60009765625,1874
26,2025-04-17,3345.0,3345.0,3287.800048828125,3308.699951171875,824
27,2025-04-21,3342.199951171875,3418.5,3342.199951171875,3406.199951171875,78
28,2025-04-22,3422.199951171875,3485.60009765625,3361.699951171875,3400.800048828125,785
29,2025-04-23,3321.199951171875,3370.300048828125,3256.199951171875,3276.300048828125,331
30,2025-04-24,3305.39990234375,3353.89990234375,3304.89990234375,3332.0,560
31,2025-04-25,3355.5,3355.5,3266.10009765625,3282.39990234375,162
32,2025-04-28,3284.5,3332.5,3284.5,3332.5,1300
33,2025-04-29,3340.0,3340.0,3299.89990234375,3318.800048828125,1278
34,2025-04-30,3318.699951171875,3318.699951171875,3268.0,3305.0,207
35,2025-05-01,3272.89990234375,3275.0,3198.60009765625,3210.0,2131
36,2025-05-02,3239.89990234375,3257.0,3225.0,3231.89990234375,1349
37,2025-05-05,3242.699951171875,3315.699951171875,3239.699951171875,3311.300048828125,244
38,2025-05-06,3365.5,3430.89990234375,3356.800048828125,3411.39990234375,2357
39,2025-05-07,3418.699951171875,3418.699951171875,3364.699951171875,3381.39990234375,1080
40,2025-05-08,3390.0,3390.0,3288.699951171875,3296.60009765625,200
41,2025-05-09,3299.0,3335.5,3299.0,3335.39990234375,216
42,2025-05-12,3300.699951171875,3300.699951171875,3205.0,3220.0,886
43,2025-05-13,3232.0,3251.39990234375,3223.5,3240.300048828125,2424
44,2025-05-14,3233.0,3233.0,3171.699951171875,3181.39990234375,3518
45,2025-05-15,3151.0,3228.10009765625,3125.0,3220.699951171875,652
46,2025-05-16,3227.699951171875,3228.10009765625,3173.89990234375,3182.0,199
47,2025-05-19,3234.39990234375,3241.0,3228.300048828125,3228.89990234375,266
48,2025-05-20,3219.0,3293.199951171875,3207.5,3280.300048828125,356
49,2025-05-21,3293.39990234375,3317.5,3290.199951171875,3309.300048828125,979
50,2025-05-22,3327.300048828125,3328.0,3282.699951171875,3292.300048828125,1210
51,2025-05-23,3328.0,3363.60009765625,3323.5,3363.60009765625,47
52,2025-05-27,3332.5,3341.0,3296.300048828125,3299.10009765625,189
53,2025-05-28,3293.60009765625,3293.60009765625,3293.60009765625,3293.60009765625,127758
54,2025-05-29,3283.699951171875,3328.800048828125,3242.39990234375,3317.10009765625,24370
55,2025-05-30,3315.10009765625,3318.0,3270.89990234375,3288.89990234375,2213
56,2025-06-02,3296.89990234375,3380.800048828125,3296.89990234375,3370.60009765625,976
57,2025-06-03,3385.10009765625,3390.0,3331.300048828125,3350.199951171875,6410
58,2025-06-04,3355.0,3380.0,3344.0,3373.5,207
59,2025-06-05,3371.5,3400.0,3343.699951171875,3350.699951171875,731
60,2025-06-06,3364.300048828125,3364.300048828125,3306.0,3322.699951171875,81
61,2025-06-09,3315.60009765625,3334.60009765625,3290.0,3332.10009765625,1887
62,2025-06-10,3302.0,3344.300048828125,3302.0,3320.89990234375,65
63,2025-06-11,3328.0,3356.0,3321.300048828125,3321.300048828125,2106
64,2025-06-12,3363.0,3395.89990234375,3353.39990234375,3380.89990234375,1818
65,2025-06-13,3407.300048828125,3444.0,3407.300048828125,3431.199951171875,1818
