NULL,model1,2010-04-13,sell,-6.112293955189354,1145.490375827467,2010-04-13,1123.7273036056658,180.13063464537362
NULL,model1,2010-04-14,buy,6.112293955189354,1152.0,2010-04-14,1145.490375827467,-39.78873648032792
NULL,model1,2010-04-19,buy,18.58547912918676,1137.0,2010-04-19,1143.936435589547,128.91697888047486
NULL,model1,2010-04-23,buy,6.183368417409932,1141.8,2010-04-23,1132.192128393755,-59.40900984858496
NULL,model1,2010-05-06,buy,6.028563354704565,1192.008879879172,2010-05-06,1159.3603586808952,44.25618077096977
NULL,model1,2010-05-17,sell,-6.028563354704565,1232.0,2010-05-17,1192.008879879172,241.0890012740127
NULL,model1,2010-05-25,buy,9.723964495999812,1192.4,2010-05-25,1206.5397915675046,137.49483118325145
NULL,model1,2010-06-02,sell,-4.680123461642033,1227.7,2010-06-02,1220.7188234831194,32.672768006517416
NULL,model1,2010-06-04,buy,9.687808166386322,1208.5,2010-06-04,1204.9355373254348,-34.53183060743217
NULL,model1,2010-06-08,sell,-4.736998136310809,1242.6,2010-06-08,1232.4460503771825,48.099240439480035
NULL,model1,2010-06-10,buy,9.963719952043522,1234.4,2010-06-10,1224.2357879691035,-101.27336220904505
NULL,model1,2010-06-21,sell,-5.263221699495678,1238.0695928531438,2010-06-21,1243.9993552699048,-36.06239581017369
NULL,model1,2010-06-22,buy,10.124907966897757,1233.3,2010-06-22,1249.1761414907157,160.74447146294423
NULL,model1,2010-07-08,buy,10.20991144649073,1202.9,2010-07-08,1235.3087774499836,330.89074785335737
NULL,model1,2010-07-19,buy,5.034466559798301,1193.7,2010-07-19,1191.50349047151,-11.058253769461082
NULL,model1,2010-07-29,buy,16.302522035087804,1165.8,2010-07-29,1168.4346235608991,42.951008655720244
NULL,model1,2010-08-05,sell,-5.794654286019896,1197.0,2010-08-05,1202.9953967713702,-34.741251597610315
NULL,model1,2010-08-10,sell,-6.007120509295238,1203.3,2010-08-10,1205.9200104814365,-15.738718697606087
NULL,model1,2010-08-18,sell,-6.313246965532542,1226.8,2010-08-18,1215.4468737945574,71.67508956581817
NULL,model1,2010-08-25,buy,24.941573491574516,1232.1,2010-08-25,1217.645150894152,-360.52668128312484
NULL,model1,2010-09-10,buy,6.85458156254482,1245.8,2010-09-10,1243.699679879328,-14.396815574600168
NULL,model1,2010-09-28,sell,-7.561461797832421,1284.4804609262833,2010-09-28,1283.6904983035552,5.644642789379986
NULL,model1,2010-09-29,buy,0.4160062699667053,1310.8,2010-09-29,1284.4804609262833,-10.949093277299825
NULL,model1,2010-10-08,sell,-0.22203771171932996,1334.2,2010-10-08,1324.4741474720804,57.1058562636972
NULL,model1,2010-10-15,sell,-6.275122959676078,1381.7000000000003,2010-10-15,1352.1524494451671,185.41451288882172
NULL,model1,2010-10-25,buy,6.0190448149979,1329.3,2010-10-25,1359.4527986630487,96.80250181532406
NULL,model1,2010-10-26,sell,-5.904179409540346,1340.3,2010-10-26,1329.3,64.94597350494381
NULL,model1,2010-10-29,sell,-5.427546435849982,1344.5,2010-10-29,1343.070314574296,7.759684036666763
NULL,model1,2010-11-04,buy,5.156540869822352,1359.1363517911386,2010-11-04,1336.8014545177982,-346.33294066593265
NULL,model1,2010-11-10,sell,-4.337678412951736,1384.6609656521575,2010-11-10,1359.1360791856648,174.13977871924806
NULL,model1,2010-11-18,buy,4.337678412951736,1336.0,2010-11-18,1384.6609656521575,211.07562026274962
NULL,model1,2010-11-29,buy,4.186190821719393,1365.0,2010-11-29,1350.9574101190997,-58.78496087259455
NULL,model1,2010-12-06,sell,-4.338429542831738,1415.1,2010-12-06,1383.5166800176157,137.02200847228352
NULL,model1,2010-12-09,buy,9.16684183987213,1383.0,2010-12-09,1391.7669467893443,80.36521463649373
NULL,model1,2010-12-16,sell,-4.747640290208146,1362.49679507772,2010-12-16,1379.343175845884,4.018456445403677
NULL,model1,2010-12-17,buy,4.747640290208146,1370.4,2010-12-17,1362.49679507772,-37.52157411078839
NULL,model1,2011-01-03,sell,-5.6616414543772455,1420.4,2011-01-03,1402.827259026701,99.49055876146319
NULL,model1,2011-01-10,buy,16.84266036347986,1369.8,2011-01-10,1402.6846111164632,553.8643362197048
NULL,model1,2011-01-21,buy,5.7629869018810265,1345.5,2011-01-21,1366.2631614984653,119.65782775729568
NULL,model1,2011-01-26,buy,17.989466309332844,1331.5,2011-01-26,1325.0544447859265,-115.95209836851924
NULL,model1,2011-01-28,buy,5.920571506422423,1314.9,2011-01-28,1312.858754148725,-12.085342024662383
NULL,model1,2011-02-04,sell,-5.302312694359979,1356.4,2011-02-04,1354.5940993630954,9.575449871812312
NULL,model1,2011-02-14,sell,-5.5615872402653785,1358.2,2011-02-14,1369.6626684691112,-63.7506306972007
NULL,model1,2011-02-24,sell,-5.993656469375907,1394.170476516392,2011-02-24,1393.2239258608658,-3.540023031152629
NULL,model1,2011-02-25,buy,5.314734964038334,1401.9,2011-02-25,1394.170476516392,-41.08036871368731
NULL,model1,2011-03-02,sell,-6.22136699845028,1434.9,2011-03-02,1428.1936040495139,41.722950444895694
NULL,model1,2011-03-04,buy,11.547427573988053,1415.7,2011-03-04,1417.1191342836798,16.387350358555857
NULL,model1,2011-03-08,sell,-6.487440694621186,1432.2999999999997,2011-03-08,1435.0,-17.516089875477498
NULL,model1,2011-03-16,buy,12.81875050880287,1394.8,2011-03-16,1413.4740878413347,239.37847301753953
NULL,model1,2011-03-25,sell,-5.974219561646881,1433.5000000000002,2011-03-25,1446.6675041426686,-78.66556082719696
